instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-t65d11xx_150,CW,Exchange,First-improvement,3487281,2.031000,+2.0247
N-t65d11xx_150,CW,Exchange,Best-improvement,3444161,0.438000,+3.2362
N-t65d11xx_150,CW,Insert,First-improvement,3491289,1.422000,+1.9121
N-t65d11xx_150,CW,Insert,Best-improvement,3486585,0.516000,+2.0443
N-t65d11xx_250,Random,Transpose,First-improvement,6291686,0.000000,+32.7214
N-t65d11xx_250,Random,Transpose,Best-improvement,6318920,0.000000,+32.4302
N-t65d11xx_250,Random,Exchange,First-improvement,9075505,26.500000,+2.9534
N-t65d11xx_250,Random,Exchange,Best-improvement,8968092,4.156000,+4.1020
N-t65d11xx_250,Random,Insert,First-improvement,9087435,22.390000,+2.8258
N-t65d11xx_250,Random,Insert,Best-improvement,9105394,4.875000,+2.6338
N-t65d11xx_250,CW,Transpose,First-improvement,7889100,0.000000,+15.6399
N-t65d11xx_250,CW,Transpose,Best-improvement,7881453,0.000000,+15.7217
N-t65d11xx_250,CW,Exchange,First-improvement,9148690,23.531000,+2.1708
N-t65d11xx_250,CW,Exchange,Best-improvement,9091834,4.219000,+2.7788
N-t65d11xx_250,CW,Insert,First-improvement,9179106,16.969000,+1.8455
N-t65d11xx_250,CW,Insert,Best-improvement,9173885,4.094000,+1.9014
N-t65f11xx_150,Random,Transpose,First-improvement,2143139,0.000000,+32.1647
N-t65f11xx_150,Random,Transpose,Best-improvement,2144084,0.000000,+32.1348
N-t65f11xx_150,Random,Exchange,First-improvement,3060658,3.031000,+3.1231
N-t65f11xx_150,Random,Exchange,Best-improvement,3053624,0.593000,+3.3457
N-t65f11xx_150,Random,Insert,First-improvement,3077304,2.500000,+2.5962
N-t65f11xx_150,Random,Insert,Best-improvement,3094701,0.547000,+2.0455
N-t65f11xx_150,CW,Transpose,First-improvement,2650742,0.000000,+16.0979
N-t65f11xx_150,CW,Transpose,Best-improvement,2647685,0.000000,+16.1946
N-t65f11xx_150,CW,Exchange,First-improvement,3084141,1.890000,+2.3798
N-t65f11xx_150,CW,Exchange,Best-improvement,3060886,0.454000,+3.1159
N-t65f11xx_150,CW,Insert,First-improvement,3089054,1.765000,+2.2243
N-t65f11xx_150,CW,Insert,Best-improvement,3101222,0.485000,+1.8391
N-t65f11xx_250,Random,Transpose,First-improvement,5792510,0.000000,+31.1200
N-t65f11xx_250,Random,Transpose,Best-improvement,5797863,0.000000,+31.0563
N-t65f11xx_250,Random,Exchange,First-improvement,8149745,28.547000,+3.0896
N-t65f11xx_250,Random,Exchange,Best-improvement,8104673,4.468000,+3.6256
N-t65f11xx_250,Random,Insert,First-improvement,8253745,22.485000,+1.8529
N-t65f11xx_250,Random,Insert,Best-improvement,8196647,4.266000,+2.5319
N-t65f11xx_250,CW,Transpose,First-improvement,7114179,0.000000,+15.4037
N-t65f11xx_250,CW,Transpose,Best-improvement,7121152,0.000000,+15.3208
N-t65f11xx_250,CW,Exchange,First-improvement,8200306,21.922000,+2.4884
N-t65f11xx_250,CW,Exchange,Best-improvement,8119279,3.375000,+3.4519
N-t65f11xx_250,CW,Insert,First-improvement,8289311,17.734000,+1.4300
N-t65f11xx_250,CW,Insert,Best-improvement,8238391,3.969000,+2.0355
N-t65l11xx_150,Random,Transpose,First-improvement,128191,0.000000,+49.4108
N-t65l11xx_150,Random,Transpose,Best-improvement,128369,0.000000,+49.3406
N-t65l11xx_150,Random,Exchange,First-improvement,250051,2.406000,+1.3201
N-t65l11xx_150,Random,Exchange,Best-improvement,247080,0.562000,+2.4925
N-t65l11xx_150,Random,Insert,First-improvement,248920,1.438000,+1.7664
N-t65l11xx_150,Random,Insert,Best-improvement,249865,0.625000,+1.3935
N-t65l11xx_150,CW,Transpose,First-improvement,212453,0.000000,+16.1577
N-t65l11xx_150,CW,Transpose,Best-improvement,212466,0.000000,+16.1526
N-t65l11xx_150,CW,Exchange,First-improvement,247903,1.609000,+2.1678
N-t65l11xx_150,CW,Exchange,Best-improvement,247306,0.343000,+2.4034
N-t65l11xx_150,CW,Insert,First-improvement,249132,1.016000,+1.6827
N-t65l11xx_150,CW,Insert,Best-improvement,249067,0.406000,+1.7084
N-t65l11xx_250,Random,Transpose,First-improvement,395635,0.000000,+40.6180
N-t65l11xx_250,Random,Transpose,Best-improvement,396207,0.000000,+40.5321
N-t65l11xx_250,Random,Exchange,First-improvement,652205,25.829000,+2.1087
N-t65l11xx_250,Random,Exchange,Best-improvement,642843,3.375000,+3.5138
N-t65l11xx_250,Random,Insert,First-improvement,653157,13.500000,+1.9658
